Rank,D Score,E Score,Pen.,Total,year,Name,nation,round_AAfinal,round_TeamFinal,round_TeamQual,round_final,round_qual
33.0,4.2,6.666,0.0,10.866,2022,230,64,0,0,0,0,1
33.0,4.2,6.666,0.0,10.866,2022,230,64,0,0,0,0,1
44.0,4.4,7.8,0.0,12.2,2023,230,64,0,0,0,0,1
58.0,4.4,7.266,0.0,11.666,2023,230,64,0,0,0,0,1
21.0,5.1,6.166,0.0,11.266,2022,515,29,1,0,0,0,0
55.0,5.2,7.566,0.0,12.766,2022,515,29,0,0,0,0,1
0.0,4.4,7.233,0.0,11.633,2022,515,29,0,1,0,0,0
105.0,5.0,5.5,0.0,10.5,2022,515,29,0,0,0,0,1
58.0,5.0,8.1,0.0,13.1,2023,515,29,0,0,0,0,1
12.0,4.7,8.3,0.0,13.0,2023,515,29,1,0,0,0,0
28.0,5.0,8.233,0.0,13.233,2023,515,29,0,0,0,0,1
11.0,5.0,7.0,0.0,12.0,2023,515,29,0,0,0,0,1
7.0,5.5,8.166,0.0,13.666,2022,758,45,1,0,0,0,0
15.0,5.5,8.466,0.0,13.966,2022,758,45,0,0,0,0,1
0.0,5.5,6.8,0.0,12.3,2022,758,45,0,1,0,0,0
61.0,5.0,7.533,0.0,12.533,2022,758,45,0,0,0,0,1
5.0,5.5,8.333,0.0,13.833,2022,758,45,0,1,0,0,0
4.0,5.5,8.3,0.0,13.8,2023,758,45,1,0,0,0,0
40.0,5.8,7.7,0.0,13.5,2023,758,45,0,0,0,0,1
0.0,5.8,6.933,0.0,12.733,2023,758,45,0,1,0,0,0
15.0,6.4,7.033,0.0,13.433,2023,758,45,0,0,0,0,1
1.0,5.7,8.4,0.0,14.1,2023,758,45,1,0,0,0,0
6.0,5.7,8.466,0.0,14.166,2023,758,45,0,0,0,1,0
6.0,5.7,8.566,0.0,14.266,2023,758,45,0,0,0,0,1
55.0,5.2,7.566,0.0,12.766,2022,1,26,0,0,0,0,1
25.0,5.4,6.766,0.0,12.166,2022,1,26,0,0,0,0,1
27.0,5.7,7.0,0.0,12.7,2023,1,26,0,0,0,0,1
21.0,5.8,7.266,0.0,13.066,2023,1,26,0,0,0,0,1
9.0,5.6,8.5,0.0,14.1,2023,1,26,0,0,0,0,1
37.0,4.9,8.266,0.0,13.166,2022,19,26,0,0,0,0,1
21.0,4.9,8.05,0.0,12.95,2023,19,26,0,0,0,0,1
94.0,4.2,8.066,0.0,12.266,2023,19,26,0,0,0,0,1
