Rank,Athlete,Nation,D,E,ND,Total,D.1,E.1,ND.1,Total.1,year,Average
1,igor radivilov,UKR,5.6,9.366,0.0,14.966,5.6,9.333,0.0,14.933,2019,14.9495
2,loris frasca,FRA,5.6,9.4,0.0,15.0,5.6,9.2,0.0,14.8,2019,14.9
3,dominick cunningham,none,5.4,9.166,0.0,14.566,5.6,9.333,0.0,14.933,2019,14.749500000000001
4,hidenobu yonekura,JPN,6.0,8.525,0.0,14.525,5.6,9.033,0.0,14.633,2019,14.579
5,shin jea-hwan,SKR,5.6,9.033,0.0,14.633,5.2,9.3,0.0,14.5,2019,14.5665
6,christopher remkes,AUS,5.6,9.033,-0.1,14.533,5.6,8.033,0.0,13.633,2019,14.082999999999998
7,kim han-sol,SKR,5.6,8.066,-0.1,13.566,5.2,9.233,0.0,14.433,2019,13.999500000000001
8,milad karimi,KAZ,5.2,8.0,-0.3,12.9,5.2,9.066,0.0,14.266,2019,13.583
1,ri se gwang,none,6.0,8.933,0.0,14.933,6.0,8.933,0.0,14.933,2018,14.933
2,artur dalaloyan,RUS,5.6,9.266,0.0,14.866,5.6,9.3,0.0,14.9,2018,14.883
3,kenzo shirai,JPN,5.6,9.15,0.0,14.75,5.2,9.4,0.0,14.6,2018,14.675
4,dominick cunningham,none,5.4,9.133,0.0,14.533,5.6,9.2,0.0,14.8,2018,14.6665
5,nikita nagornyy,RUS,5.6,9.2,0.0,14.8,5.6,8.9,0.0,14.5,2018,14.65
6,shek wai hung,HKG,5.6,9.133,0.0,14.733,5.6,8.7,-0.3,14.0,2018,14.3665
7,artur davtyan,ARM,5.6,8.833,0.0,14.433,5.6,8.133,-0.3,13.433,2018,13.933
8,caio souza,BRA,5.6,9.033,0.0,14.633,5.6,7.833,-0.3,13.133,2018,13.883
1,nikita nagornyy,RUS,5.6,9.333,0.0,14.933,5.6,9.4,0.0,15.0,2019,14.9665
2,artur dalaloyan,RUS,5.6,9.333,0.0,14.933,5.6,9.333,0.0,14.933,2019,14.933
3,igor radivilov,UKR,5.6,9.233,0.0,14.833,5.6,9.066,0.0,14.666,2019,14.749500000000001
4,marian dragulescu,ROU,5.6,9.366,0.0,14.966,5.4,8.883,0.0,14.283,2019,14.6245
5,dominick cunningham,none,5.2,9.366,0.0,14.566,5.4,9.166,0.0,14.566,2019,14.566
6,le thanh tung,VIE,5.6,9.066,0.0,14.666,5.2,9.2,0.0,14.4,2019,14.533000000000001
7,shek wai hung,HKG,6.0,7.933,0.0,13.933,6.0,9.0,0.0,15.0,2019,14.4665
8,yang hak-seon,SKR,6.0,8.033,-0.3,13.733,5.6,9.3,0.0,14.9,2019,14.316500000000001
1,kim han-sol,SKR,5.6,9.2,0.0,14.8,5.2,9.3,0.0,14.5,2019,14.65
2,yahor sharamkou,BLR,5.2,9.25,0.0,14.45,5.2,9.15,-0.1,14.25,2019,14.35
3,luis porto,BRA,5.2,9.2,0.0,14.4,4.8,9.5,0.0,14.3,2019,14.350000000000001
4,wataru tanigawa,JPN,6.0,7.9,0.0,13.9,5.6,9.05,0.0,14.65,2019,14.275
5,fabian de luna,MEX,5.2,9.1,0.0,14.3,5.2,8.95,-0.1,14.05,2019,14.175
6,heath thorpe,AUS,4.8,9.35,0.0,14.15,4.6,8.95,-0.1,13.45,2019,13.8
7,robert ghiuzan,ROU,5.2,7.8,-0.3,12.7,5.2,9.0,-0.3,13.9,2019,13.3
8,marco walter,SUI,5.2,9.2,0.0,14.4,4.8,7.6,-0.3,12.1,2019,13.25
1,yul moldauer,USA,5.2,9.1,0.0,14.3,5.2,9.3,0.0,14.5,2020,14.4
2,eddie penev,USA,5.4,8.85,0.0,14.25,5.2,9.3,0.0,14.5,2020,14.375
2,shane wiskus,USA,5.2,9.25,0.0,14.45,5.2,9.1,0.0,14.3,2020,14.375
4,colt walker,USA,5.2,9.05,0.0,14.25,5.2,9.2,0.0,14.4,2020,14.325
4,gage dyer,USA,5.6,8.6,0.0,14.2,5.6,8.95,-0.1,14.45,2020,14.325
6,robert neff,USA,5.2,9.0,-0.1,14.1,5.2,9.2,0.0,14.4,2020,14.25
7,colin van wicklen,USA,5.6,8.1,0.0,13.7,5.6,9.15,0.0,14.75,2020,14.225
8,akash modi,USA,5.2,8.95,0.0,14.15,5.2,9.05,0.0,14.25,2020,14.2
8,marvin kimble,USA,5.6,8.1,0.0,13.7,5.6,9.1,0.0,14.7,2020,14.2
10,isaiah drake,USA,5.2,8.75,0.0,13.95,5.2,9.05,0.0,14.25,2020,14.1
11,timothy wang,USA,5.2,8.25,0.0,13.45,5.2,9.25,0.0,14.45,2020,13.95
12,donothan bailey,USA,5.2,8.8,0.0,14.0,5.2,8.75,-0.1,13.85,2020,13.925
13,paul juda,USA,5.2,9.1,0.0,14.3,5.2,8.3,0.0,13.5,2020,13.9
14,alex diab,USA,5.2,8.5,0.0,13.7,5.2,8.8,0.0,14.0,2020,13.85
15,cameron bock,USA,5.2,8.3,0.0,13.5,5.2,8.5,-0.1,13.6,2020,13.55
16,kiwan watts,USA,4.8,8.95,0.0,13.75,5.2,8.1,0.0,13.3,2020,13.525
16,sean melton,USA,5.2,8.75,-0.1,13.85,5.2,8.0,0.0,13.2,2020,13.524999999999999
18,michael moran,USA,5.2,8.9,0.0,14.1,5.2,7.65,-0.1,12.75,2020,13.425
19,nicolas kuebler,USA,4.8,8.85,0.0,13.65,4.0,9.15,0.0,13.15,2020,13.4
20,ian gunther,USA,5.2,8.35,0.0,13.55,4.8,7.25,-0.3,11.75,2020,12.65
1,shin jea-hwan,SKR,6.0,9.2,0.0,15.2,5.6,8.966,0.0,14.566,2020,14.883
2,andrey medvedev,ISR,5.6,8.966,0.0,14.566,5.6,9.166,0.0,14.766,2020,14.666
3,igor radivilov,UKR,5.6,9.066,0.0,14.666,5.6,9.033,0.0,14.633,2020,14.6495
4,james bacueti,AUS,5.6,9.066,0.0,14.666,5.2,9.266,0.0,14.466,2020,14.565999999999999
5,yahor sharamkou,BLR,5.2,9.2,0.0,14.4,5.6,9.033,0.0,14.633,2020,14.5165
6,courtney tulloch,none,5.6,8.9,0.0,14.5,5.6,8.9,0.0,14.5,2020,14.5
7,abdelrahman magdy elgamal,TUR,5.6,9.066,0.0,14.666,5.6,8.8,-0.1,14.3,2020,14.483
8,jorge vega lopez,GUA,5.6,8.933,-0.1,14.433,5.2,9.233,0.0,14.433,2020,14.433
9,sviataslau drantitski,BLR,5.2,9.2,0.0,14.4,5.2,9.0,0.0,14.2,2020,14.3
10,hidenobu yonekura,JPN,5.6,8.7,0.0,14.3,5.2,8.9,0.0,14.1,2020,14.2
11,audrys nin reyes,DOM,6.0,8.133,-0.3,13.833,5.6,8.966,0.0,14.566,2020,14.1995
12,marco rizzo,SUI,5.2,8.933,0.0,14.133,5.2,9.066,0.0,14.266,2020,14.1995
13,milad karimi,KAZ,5.2,9.4,0.0,14.6,5.2,8.666,-0.3,13.566,2020,14.083
14,carlos edriel yulo,PHI,5.6,7.866,-0.3,13.166,5.6,9.066,0.0,14.666,2020,13.916
